"","odds_ratio","ci_low","ci_high"
"12041",12.3514285714286,6.96676471528952,21.8979388553618
"12042",5.6,0.495719386156233,63.2615969352396
"12043",Inf,NA,Inf
"12044",Inf,NA,Inf
"12045",5.6,0.495719386156233,63.2615969352396
"12046",Inf,NA,Inf
"12047",Inf,NA,Inf
"12048",Inf,NA,Inf
"12049",22.4,2.72504806460071,184.128862355872
"12050",3.78787878787879,0.815389470949854,17.5965305204983
"12051",7.40123456790123,4.01054264016169,13.658568937915
"12052",Inf,NA,Inf
"12053",0.5,0.139039529951975,1.79804980703222
"12054",8.59090909090909,0.870763327830713,84.7574956930349
"12055",1.35869565217391,0.120313522448062,15.3436940226998
"12056",Inf,NA,Inf
"12057",0.606673407482305,0.21702921322212,1.69586673555096
"12058",15,1.70363249988097,132.070737096011
"12059",2.13068181818182,0.458656577409293,9.89804841778029
"12060",0.602916526986255,0.329222325147019,1.10414243126082
"12061",0.467852257181943,0.183469326736889,1.19303721468461
"12062",Inf,NA,Inf
"12063",0.219847328244275,0.119554443853148,0.404274790450401
"12064",Inf,NA,Inf
"12065",0.390243902439024,0.182949775736176,0.832415906376678
"12066",0.973469387755102,0.57142743495772,1.65837793379033
"12067",0.717131474103586,0.309080195841563,1.66389680758972
"12068",5.87258687258687,2.78084793278604,12.4017125026783
"12069",14.2857142857143,3.8180125776092,53.4523206785387
"12070",0.732951587714732,0.419760623052574,1.27981997460076
"12071",20.5116279069767,2.45287818037642,171.523756361069
"12072",Inf,NA,Inf
"12073",1.14184060721063,0.627089248076405,2.07912984678742
"12074",5.6203007518797,2.73161956368117,11.5637554224467
"12075",6.87023593466425,3.88530179322706,12.1483849414818
"12076",1.33695652173913,0.236813061622283,7.54794827943985
"12077",0.91304347826087,0.0926216750931686,9.00057564664142
"12078",12.1327800829876,1.60696709593656,91.6038373868175
"12079",0.293321299638989,0.109974007667958,0.782342906713709
"12080",1.35830212234707,0.392103937938569,4.70534589698918
"12081",6.3351724137931,1.86019974737658,21.5753225260278
"12082",Inf,NA,Inf
"12083",Inf,NA,Inf
"12084",1.35752078609221,0.634908521639138,2.90256410469137
"12085",0.213831775700935,0.0909668401884844,0.50264501003524
"12086",1.19117647058824,0.284532583778897,4.98677995060712
"12087",0.053735632183908,0.0177891491102441,0.162319071491814
"12088",Inf,NA,Inf
"12089",4.1,0.54041169808442,31.1059143604512
"12090",1.24945054945055,0.505486482877161,3.08836482953324
"12091",Inf,NA,Inf
"12092",Inf,NA,Inf
"12093",Inf,NA,Inf
"12094",Inf,NA,Inf
"12095",0.146551724137931,0.0162290978983379,1.32338888965602
"12096",Inf,NA,Inf
"12097",Inf,NA,Inf
"12098",Inf,NA,Inf
"12099",0.460692464358452,0.198417024874951,1.06965391125294
"12100",Inf,NA,Inf
"12101",0.0876288659793814,0.0086632134796595,0.88637064882005
"12102",Inf,NA,Inf
"12103",Inf,NA,Inf
"12104",Inf,NA,Inf
"12105",Inf,NA,Inf
"12106",0.110424028268551,0.0490093222183543,0.24879891145459
"12107",0.0291095890410959,0.00174642800577602,0.485200747662636
"12108",Inf,NA,Inf
"12109",0.363636363636364,0.0794455766371006,1.66442753084539
"12110",2.16496212121212,0.951258898308898,4.92721907213243
"12111",0.182126696832579,0.0829394824094358,0.399931766337772
"12112",Inf,NA,Inf
"12113",4.36607142857143,2.02046974163949,9.43472665119924
"12114",Inf,NA,Inf
"12115",13.189010989011,1.74678184742389,99.5831340500759
"12116",17.3466257668712,7.08614762147573,42.4638945685997
"12117",17.2594235033259,7.51362386282074,39.6463417793884
"12118",Inf,NA,Inf
"12119",0.164874551971326,0.0633935347768401,0.428807416772675
"12120",Inf,NA,Inf
"12121",Inf,NA,Inf
"12122",Inf,NA,Inf
"12123",0.464749061113008,0.22931943573453,0.941881306804991
"12124",Inf,NA,Inf
"12125",0.0589254766031196,0.016163214236687,0.214821862907913
"12126",Inf,NA,Inf
"12127",1.23076923076923,0.551262484630597,2.74786139387547
"12128",6.54108216432866,0.864522423078087,49.4906259668338
"12129",Inf,NA,Inf
"12130",Inf,NA,Inf
"12131",Inf,NA,Inf
"12132",Inf,NA,Inf
"12133",0.05859375,0.0162175952037991,0.211697695985052
"12134",Inf,NA,Inf
"12135",Inf,NA,Inf
"12136",1.53333333333333,0.687342225033343,3.42058297232803
"12137",1.73573573573574,0.473971241178672,6.35645854127752
"12138",2.35714285714286,0.945736696855692,5.87491472780123
"12139",1.16322642108606,0.684161740863949,1.97774243412678
"12140",1.06453132359868,0.50092435242394,2.26227160536147
"12141",2.05084745762712,0.634212516306905,6.63180745619388
"12142",1.71654929577465,1.05611126091868,2.78999154147956
"12143",0.975409836065574,0.173749722726596,5.47583232573318
"12144",0.0296937828642128,0.00400151506568711,0.220346725256079
"12145",11.1103896103896,4.53951322002932,27.1925097056675
"12146",1,0.423157557782175,2.36318596137366
"12147",0.65,0.127314092532384,3.31856428142495
"12148",0.518251464623704,0.28525273546149,0.941567063853363
"12149",1.85928853754941,0.947734876683692,3.64759591623257
"12150",1.61143599740091,0.903571298553672,2.87384734096356
"12151",0.991666666666667,0.176591829774849,5.56878978507439
"12152",0.154411764705882,0.0629694512157437,0.378643812503539
"12153",2.05255878284924,1.16096551589061,3.62887398409904
"12154",4.29661016949153,1.25558132043291,14.7030372689941
"12155",Inf,NA,Inf
"12156",0.594642857142857,0.226041749512917,1.56431335500177
