"A","B","jc1.x","jc2.x","jc3.x","jc4.x","qor","ci_low.x","ci_high.x","jc1.y","jc2.y","jc3.y","jc4.y","aor","ci_low.y","ci_high.y","sfx","share_2x2"
"Achillea_millefolium","Anthoxanthum_odoratum",66,16,267,96,0.394165552854231,-0.199729001973476,0.988060107681938,32,2,49,6,0.67252789335721,-0.988651406618162,2.33370719333258,"no",66
"Achillea_millefolium","Brachythecium_rutabulum",32,50,114,249,0.334967345441793,-0.1610249509337,0.830959641817285,26,8,36,19,0.539575037051977,-0.428337371665448,1.5074874457694,"no",32
"Achillea_millefolium","Centaurea_nigra",45,37,72,291,1.59240172528153,1.08668159908334,2.09812185147973,19,15,17,38,1.0407615937344,0.15455205430187,1.92697113316693,"yes",45
"Achillea_millefolium","Cerastium_fontanum",49,33,183,180,0.378783434692936,-0.108193662469877,0.865760531855748,30,4,45,10,0.510825623765991,-0.737365956970806,1.75901720450279,"no",49
"Achillea_millefolium","Cirsium_arvense",23,59,106,257,-0.0564062371934171,-0.588691236718524,0.475878762331689,19,15,30,25,0.0540672212702758,-0.806173136818213,0.914307579358764,"no",23
"Achillea_millefolium","Dactylis_glomerata",37,45,95,268,0.841365511784221,0.347434201771414,1.33529682179703,26,8,29,26,1.06945570437665,0.116472673140036,2.02243873561327,"yes",37
"Achillea_millefolium","Festuca_rubra",56,26,119,244,1.48529988489534,0.971120479055214,1.99947929073547,28,6,27,28,1.57681268511802,0.548732849624618,2.60489252061143,"yes",56
"Achillea_millefolium","Hypochaeris_radicata",22,60,38,325,1.14293691373957,0.550012050861258,1.73586177661788,13,21,9,46,1.15184373889099,0.157460254734233,2.14622722304775,"yes",22
"Achillea_millefolium","Lathyrus_pratensis",30,52,72,291,0.846610811236165,0.328453319216356,1.36476830325597,20,14,20,35,0.916290731874155,0.0397520846942376,1.79282937905407,"yes",30
"Achillea_millefolium","Lolium_perenne",44,38,148,215,0.520029228555423,0.0381283139633288,1.00193014314752,24,10,35,20,0.315852949418477,-0.603965873321451,1.2356717721584,"yes",44
"Achillea_millefolium","Lotus_corniculatus",53,29,148,215,0.976421837929196,0.477646690073304,1.47519698578509,32,2,40,15,1.79175946922805,0.244828098201316,3.33869084025479,"yes",53
"Achillea_millefolium","Luzula_campestris",40,42,68,295,1.41867748699428,0.911702973635788,1.92565200035278,24,10,16,39,1.76644166124377,0.826851734323925,2.70603158816361,"yes",40
"Achillea_millefolium","Phleum_pratense",22,60,90,273,0.10636001599091,-0.43714811440006,0.64986814638188,15,19,31,24,-0.492322152201431,-1.35388200947352,0.36923770507066,"no",22
"Achillea_millefolium","Plantago_lanceolata",29,53,55,308,1.11977051417546,0.583792917269423,1.65574811108149,14,20,14,41,0.717839793150317,-0.195712373381847,1.63139195968248,"yes",29
"Achillea_millefolium","Poa_trivialis",40,42,170,193,0.0781015876851917,-0.401490923659518,0.557694099029901,23,11,43,12,-0.538694522774783,-1.50084592396377,0.423456878414208,"no",40
"Achillea_millefolium","Prunella_vulgaris",30,52,94,269,0.501370260412563,-0.00565970162995022,1.00840022245508,18,16,30,25,-0.0645385211375712,-0.921999631366808,0.792922589091666,"no",30
"Achillea_millefolium","Ranunculus_acris",62,20,232,131,0.559862063025942,0.0122078821307988,1.10751624392109,32,2,49,6,0.67252789335721,-0.988651406618162,2.33370719333258,"no",62
"Achillea_millefolium","Ranunculus_repens",54,28,253,110,-0.176129586546034,-0.684507956294095,0.332248783202028,32,2,48,7,0.847297860387204,-0.786618702149982,2.48121442292439,"no",54
"Achillea_millefolium","Rumex_acetosa",55,27,192,171,0.59566450370302,0.0910829100849899,1.10024609732105,32,2,41,14,1.69807398515073,0.145995520325062,3.2501524499764,"yes",55
"Achillea_millefolium","Stellaria_graminea",40,42,130,233,0.534713838940686,0.0514489120677498,1.01797876581362,25,9,36,19,0.382571288242312,-0.560513559075132,1.32565613555976,"yes",40
"Achillea_millefolium","Taraxacum_officinale",28,54,124,239,-0.000597550062596682,-0.505963779711349,0.504768679586155,23,11,37,18,0.0170527883827195,-0.895915830925817,0.930021407691256,"no",28
"Achillea_millefolium","Trifolium_pratense",34,48,84,279,0.855554496686323,0.353036758105858,1.35807223526679,21,13,23,32,0.809814767132463,-0.0651235807512878,1.68475311501621,"yes",34
"Achillea_millefolium","Trifolium_repens",67,15,220,143,1.0658595021963,0.467720610344538,1.66399839404807,30,4,47,8,0.244196960512042,-1.04047790245761,1.5288718234817,"yes",67
"Agrostis_canina","Anthoxanthum_odoratum",29,6,304,106,0.521947753464264,-0.384481495690425,1.42837700261895,15,2,66,6,-0.382992252256106,-2.07868662151591,1.31270211700369,"no",29
"Ajuga_reptans","Anthoxanthum_odoratum",47,6,286,106,1.06583541577422,0.187384213859415,1.94428661768902,22,2,59,6,0.112117298120706,-1.56144080152556,1.78567539776697,"yes",47
"Ajuga_reptans","Brachythecium_rutabulum",28,25,118,274,0.955772167229409,0.374875988760662,1.53666834569816,20,4,42,23,1.00726251007988,-0.180581231168599,2.19510625132836,"yes",28
"Ajuga_reptans","Centaurea_nigra",30,23,87,305,1.52010682368583,0.926953258439024,2.11326038893264,15,9,21,44,1.25049281996083,0.274176510892126,2.22680912902953,"yes",30
"Ajuga_reptans","Festuca_rubra",23,30,152,240,0.191055236762709,-0.388910082172008,0.771020555697426,14,10,41,24,-0.199045999735149,-1.15420265057431,0.756110651104008,"no",23
"Ajuga_reptans","Juncus_conglomeratus",22,31,29,363,2.18416225315155,1.51963787580277,2.84868663050032,14,10,7,58,2.45100509811232,1.32246866415964,3.57954153206499,"yes",22
"Ajuga_reptans","Lotus_corniculatus",26,27,175,217,0.177371051634098,-0.396815811191741,0.751557914459938,22,2,50,15,1.19392246847243,-0.36439612811969,2.75224106506456,"no",26
"Ajuga_reptans","Lotus_uliginosus",24,29,99,293,0.895810759243949,0.308911333970263,1.48271018451764,20,4,40,25,1.13943428318836,-0.0447042222239034,2.32357278860063,"yes",24
"Ajuga_reptans","Luzula_campestris",22,31,86,306,0.926293054572043,0.329832847792733,1.52275326135135,16,8,24,41,1.22866541691631,0.241718494512536,2.21561233932008,"yes",22
"Ajuga_reptans","Plantago_lanceolata",21,32,63,329,1.23170955929754,0.618816659309461,1.84460245928561,11,13,17,48,0.870933582188509,-0.104132497554616,1.84599966193163,"yes",21
"Ajuga_reptans","Potentilla_reptans",23,30,55,337,1.54704657938689,0.933592343485528,2.16050081528824,16,8,17,48,1.73113484741162,0.718065351314946,2.74420434350829,"yes",23
"Ajuga_reptans","Prunella_vulgaris",28,25,96,296,1.23933994816323,0.652944991632183,1.82573490469427,20,4,28,37,1.88815131490312,0.70768232885265,3.06862030095359,"yes",28
"Ajuga_reptans","Ranunculus_acris",33,20,261,131,-0.188547796209053,-0.78229528967591,0.405199697257805,22,2,59,6,0.112117298120706,-1.56144080152556,1.78567539776697,"no",33
"Ajuga_reptans","Ranunculus_repens",29,24,278,114,-0.702180665657613,-1.28532094280704,-0.119040388508183,19,5,61,4,-1.38957843632108,-2.80162890385563,0.0224720312134685,"yes",29
"Ajuga_reptans","Rumex_acetosa",26,27,221,171,-0.29423947299794,-0.868594441759607,0.280115495763727,20,4,53,12,0.124052648669979,-1.11896639873085,1.36707169607081,"no",26
"Ajuga_reptans","Trifolium_repens",27,26,260,132,-0.64013938044631,-1.21799208014905,-0.0622866807435719,17,7,60,5,-1.5976034547871,-2.86532705922732,-0.329879850346878,"yes",27
"Alopecurus_pratensis","Anthoxanthum_odoratum",43,47,290,65,-1.58444113910138,-2.07782145904711,-1.09106081915565,33,5,48,3,-0.885519073207401,-2.38395118307384,0.612913036659037,"yes",43
"Alopecurus_pratensis","Cerastium_fontanum",47,43,185,170,0.00439009798843318,-0.45868522802313,0.467465423999997,32,6,43,8,-0.00778214044205496,-1.16097605368925,1.14541177280514,"no",47
"Alopecurus_pratensis","Cirsium_arvense",33,57,96,259,0.445936163863632,-0.042589896382176,0.934462224109439,25,13,24,27,0.771709503063047,-0.0951929369241985,1.63861194305029,"no",33
"Alopecurus_pratensis","Dactylis_glomerata",38,52,94,261,0.707568066197648,0.227402970660945,1.18773316173435,30,8,25,26,1.3609765531356,0.407209716069445,2.31474339020176,"yes",38
"Alopecurus_pratensis","Festuca_rubra",43,47,132,223,0.435422362857252,-0.0308454156017725,0.901690141316276,26,12,29,22,0.496936511605324,-0.383389749971941,1.37726277318259,"no",43
"Alopecurus_pratensis","Lathyrus_pratensis",25,65,77,278,0.328304246809517,-0.197504798936578,0.854113292555612,20,18,20,31,0.543615446588982,-0.305798941602897,1.39302983478086,"no",25
"Alopecurus_pratensis","Lolium_perenne",50,40,142,213,0.628608659422374,0.161745508297835,1.09547181054691,32,6,27,24,1.55619339791529,0.525337047682718,2.58704974814786,"yes",50
"Alopecurus_pratensis","Phleum_pratense",35,55,77,278,0.831830568093896,0.338558952395047,1.32510218379275,25,13,21,30,1.0106014113454,0.138730802267215,1.88247202042358,"yes",35
"Alopecurus_pratensis","Poa_trivialis",59,31,151,204,0.944390396449865,0.461371890382438,1.42740890251729,33,5,33,18,1.28093384546206,0.178860134385321,2.38300755653881,"yes",59
"Alopecurus_pratensis","Ranunculus_acris",61,29,233,122,0.0965606253543933,-0.396817619946108,0.589938870654895,34,4,47,4,-0.323787077093897,-1.77827131747152,1.13069716328373,"no",61
"Alopecurus_pratensis","Ranunculus_repens",62,28,245,110,-0.0058479698824231,-0.505612841283182,0.493916901518336,36,2,44,7,1.05209227303322,-0.579967836772853,2.68415238283929,"no",62
"Alopecurus_pratensis","Rumex_acetosa",59,31,188,167,0.525102089007379,0.0429485030832426,1.00725567493152,33,5,40,11,0.596085467716814,-0.557174470392754,1.74934540582638,"yes",59
"Alopecurus_pratensis","Stellaria_graminea",34,56,136,219,-0.0225743220385391,-0.499414805459423,0.454266161382345,24,14,37,14,-0.432864082296279,-1.33435933668961,0.468631172097051,"no",34
"Alopecurus_pratensis","Taraxacum_officinale",40,50,112,243,0.551419020731244,0.0792103237571813,1.02362771770531,26,12,34,17,0.0800427076735364,-0.818206637090785,0.978292052437858,"yes",40
"Alopecurus_pratensis","Trifolium_repens",59,31,228,127,0.0583916969247237,-0.427542852944491,0.544326246793938,34,4,43,8,0.458307589482544,-0.823459850491587,1.74007502945668,"no",59
"Anthoxanthum_odoratum","Brachythecium_rutabulum",128,205,18,94,1.18194330915505,0.631450512177897,1.7324361061322,59,22,3,5,1.49732061431339,-0.0154858437499943,3.01012707237678,"yes",128
"Anthoxanthum_odoratum","Bromus_hordeaceus",21,312,6,106,0.173198874797953,-0.760478976469165,1.10687672606507,13,68,2,6,-0.55594605904646,-2.26271741942881,1.15082530133589,"no",21
"Anthoxanthum_odoratum","Calliergon_cuspidatum",41,292,4,108,1.33265513044036,0.282500810480883,2.38280945039983,23,58,1,7,1.02096135443804,-1.12930852855691,3.171231237433,"yes",41
