"","odds_ratio","ci_low","ci_high"
"8895",2.70797342192691,1.33650220501994,5.48679981695438
"8896",0.531944444444444,0.0700847157204436,4.03746935500186
"8897",9.7875,0.606358910733544,157.98424753767
"8898",4.8875,0.43831426181511,54.4989253853582
"8899",Inf,NA,Inf
"8900",9.7875,0.606358910733544,157.98424753767
"8901",2.4375,0.269167591096408,22.0732601046014
"8902",13.5238095238095,2.9721358379594,61.5360245990143
"8903",0.601528326745718,0.369498714058039,0.979262752780969
"8904",0.829346092503987,0.503324726922632,1.36654311691974
"8905",2.4375,0.269167591096408,22.0732601046014
"8906",0.565131837859111,0.200495733209426,1.59292165000049
"8907",0.479352226720648,0.272003306252641,0.844763839188857
"8908",0.791119833190237,0.493378108520569,1.26854146882128
"8909",2.96826625386997,1.06540494332376,8.26972374126281
"8910",6.59071729957806,1.08494966019843,40.0364700008412
"8911",0.258947159710519,0.0931422151184218,0.719905914164616
"8912",9.7875,0.606358910733544,157.98424753767
"8913",9.7875,0.606358910733544,157.98424753767
"8914",0.555643627140139,0.218557811909657,1.41262322167222
"8915",1.27257525083612,0.373640608572018,4.33423919105001
"8916",2.60869565217391,1.32449828144374,5.13801573094765
"8917",214.75,11.3442849094735,4065.2683591795
"8918",Inf,NA,Inf
"8919",Inf,NA,Inf
"8920",214.75,11.3442849094735,4065.2683591795
"8921",0.666666666666667,0.0690372154916682,6.43775159932519
"8922",11.6617647058824,1.61725441445813,84.0911329964925
"8923",1.50785340314136,0.156148198524321,14.5606667694656
"8924",2.96551724137931,0.305139129711474,28.8205990402917
"8925",Inf,NA,Inf
"8926",Inf,NA,Inf
"8927",Inf,NA,Inf
"8928",2.0711743772242,0.129070421270314,33.2358355899834
"8929",Inf,NA,Inf
"8930",Inf,NA,Inf
"8931",Inf,NA,Inf
"8932",Inf,NA,Inf
"8933",Inf,NA,Inf
"8934",40.0952380952381,2.42487878562959,662.972568955206
"8935",214.75,11.3442849094735,4065.2683591795
"8936",862,28.8982016626169,25712.4650410759
"8937",Inf,NA,Inf
"8938",42.75,4.03200988938512,453.263397198339
"8939",3.80660377358491,0.41804610767267,34.6618041003666
"8940",0.887082204155375,0.147469611209514,5.33611522045155
"8941",0.499128919860627,0.0555308491946669,4.48632935123856
"8942",2.86594202898551,0.315935291271192,25.9978037922176
"8943",3.12365591397849,0.518969875710567,18.8011418881941
"8944",Inf,NA,Inf
"8945",53.5,4.84645308045786,590.586549066434
"8946",214.75,11.3442849094735,4065.2683591795
"8947",6,0.988779245571825,36.408531187546
"8948",3.04150943396226,0.349017500538843,26.5052028124645
"8949",2.68119891008174,0.488448790870466,14.7176689343673
"8950",1.00174825174825,0.182394330425386,5.50181333783943
"8951",0.411387900355872,0.0478340577057084,3.53806498291313
"8952",0.49912739965096,0.100107943348232,2.48859533769185
"8953",429,32.0647521336525,5739.66700983308
"8954",2.72932330827068,0.494903039780773,15.051848791168
"8955",1.77471264367816,0.204979496670466,15.3654634672782
"8956",6.672,0.751488821219827,59.2365218789838
"8957",6.77966101694915,1.21658344060939,37.7810530461575
"8958",0.593207547169811,0.0788436982354995,4.46320000069178
"8959",15.2830188679245,0.942695706333025,247.768886766122
"8960",1.86713554987212,1.06958055238994,3.2594040288097
"8961",0.827991452991453,0.193964974116734,3.53450332643201
"8962",1.79625016389144,1.03143292725598,3.12818658976094
"8963",Inf,NA,Inf
"8964",0.420248868778281,0.100168338967037,1.7631230938904
"8965",0.509739981120741,0.258725287081777,1.00428856909857
"8966",1.20515799256506,0.660081568803807,2.20034289046348
"8967",1.52115384615385,0.346130027116205,6.68508607284684
"8968",2.96581196581197,1.62970606674988,5.39731721935317
"8969",Inf,NA,Inf
"8970",7.75961538461539,1.38890408596056,43.3518999085653
"8971",15.2830188679245,0.942695706333025,247.768886766122
"8972",3.48581081081081,1.81269622884646,6.70320642554543
"8973",0.474741326841144,0.063565193136399,3.54564056664263
"8974",2.86909090909091,0.952129048184276,8.64555352063466
"8975",5.04014227642276,2.5313662347913,10.0353057639162
"8976",7.75961538461539,1.38890408596056,43.3518999085653
"8977",Inf,NA,Inf
"8978",Inf,NA,Inf
"8979",Inf,NA,Inf
"8980",4.02941176470588,0.880956647535751,18.430145473068
"8981",0.348047229791099,0.114552727806638,1.05747699321254
"8982",19.7818181818182,7.4175332707522,52.756127447586
"8983",0.369078947368421,0.106661077659829,1.27712256785012
"8984",0.54484412470024,0.179155622677197,1.65696792422331
"8985",0.442857142857143,0.177923591103108,1.10228468166392
"8986",23.4444444444444,2.03226972493005,270.45719796252
"8987",0.630694383016364,0.144024588289473,2.76185760704213
"8988",3.2,0.707043583621125,14.4828412805273
"8989",Inf,NA,Inf
"8990",Inf,NA,Inf
"8991",Inf,NA,Inf
"8992",Inf,NA,Inf
"8993",Inf,NA,Inf
"8994",Inf,NA,Inf
"8995",Inf,NA,Inf
"8996",Inf,NA,Inf
"8997",Inf,NA,Inf
"8998",2.67208672086721,0.241368908030754,29.581471375448
"8999",1.00174216027875,0.090452059097267,11.0941350113526
"9000",5.7463768115942,0.514529112208114,64.1768282442131
"9001",1.03380782918149,0.0933432125758901,11.4497733491659
"9002",Inf,NA,Inf
"9003",4.45402298850575,0.399756245516244,49.6260433818076
"9004",Inf,NA,Inf
"9005",Inf,NA,Inf
"9006",Inf,NA,Inf
"9007",1.14604058893752,0.523728537167589,2.50780497582852
"9008",117.142857142857,44.021978176397,311.718135986659
"9009",0.355313700384123,0.121276695202824,1.04098998962266
"9010",0.366906474820144,0.125220881600581,1.07506319668268
"9011",0.0848696757787667,0.0289591317275597,0.248725063118456
"9012",2.04646381578947,0.843090060997428,4.96745762176455
"9013",1.04258064516129,0.136825367456016,7.94424617214603
"9014",Inf,NA,Inf
"9015",0.500869565217391,0.0312143586571977,8.03701668569155
"9016",40.0952380952381,2.42487878562959,662.972568955206
"9017",5.44029850746269,0.338192556699986,87.5147819310417
"9018",33.52,2.03782624142121,551.367126971724
"9019",13.3833333333333,0.82676635635311,216.643565300826
"9020",35.5833333333333,3.44887060067012,367.127027283973
"9021",5.3732970027248,0.598058122345653,48.2767804678426
"9022",0.499128919860627,0.0555308491946669,4.48632935123856
"9023",0.123913043478261,0.0137857888501624,1.11378772088653
"9024",9.98809523809524,1.0700146318465,93.2342825192061
"9025",Inf,NA,Inf
